Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
LCN8	LCN5	ENSG00000204001	"Lipocalin 8"	Q6JVE9	9	136754386-136758543	"Predicted intracellular proteins, Predicted secreted proteins"	Transport			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	43	"epididymis: 82.0"	"Group enriched"	"Detected in some"	9	"B-cells: 13.7;Plasma cells: 3.9"	"Group enriched"	"Detected in some"	8	"hippocampal CA4: 3.4;upper rhombic lip: 5.7"	"Cancer enriched"	"Detected in single"	6	"Thyroid Carcinoma (TCGA): 1.5"	"Region enriched"	"Detected in single"	7	"cerebellum: 1.8"	"Group enriched"	"Detected in some"	60	"memory B-cell: 4.1;naive B-cell: 8.2"	"Lineage enriched"	"Detected in single"	79	"B-cells: 8.2"	"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted in male reproductive system"	Transport	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 35: Non-specific - DNA binding"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 73: B-cells - B-cell function"																																		"unprognostic (3.37e-1)"	
LCNL1	FLJ45224	ENSG00000214402	"Lipocalin like 1"	Q6ZST4	9	136981904-136986410	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"brain: 1.9;testis: 1.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 67.5;dendritic cells: 63.7;Horizontal cells: 28.3;Leydig cells: 52.3;Muller glia cells: 26.7;Peritubular cells: 119.5"	"Cell type enhanced"	"Detected in many"		"astrocyte: 183.5"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Podocytes"					"Low region specificity"	"Detected in all"										NA	NA				"Cluster 9: Oligodendrocytes - Myelination"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 47: Astrocytes - Unknown function"							"unprognostic (5.22e-2)"					"unprognostic (3.38e-1)"																							
LEMD1	"CT50, LEMP-1"	ENSG00000186007	"LEM domain containing 1"	Q68G75	1	205381378-205455954	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"epididymis: 14.5;testis: 53.6"	"Cell type enriched"	"Detected in many"	6	"Late spermatids: 4290.5"	"Cell type enhanced"	"Detected in many"		"lower rhombic lip: 47.5;thalamic excitatory: 20.1"	"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 32.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 18.4"	"Lung - Alveolar cells type 2, Prostate - Urothelial cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in single"		"cerebellum: 1.1"	HPA076708			Approved	"Plasma membrane"			NA	NA				"Cluster 63: Testis - Spermatid development"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 63: Late spermatids - Spermatogenesis"	12	"Plasma membrane"		"HPA076708: "	"unprognostic (4.00e-2)"	"unprognostic (2.30e-1)"	"unprognostic (2.72e-1)"	"unprognostic (3.84e-2)"	"unprognostic (1.70e-2)"	"unprognostic (2.57e-2)"	"unprognostic (6.74e-2)"	"unprognostic (3.92e-2)"	"unprognostic (3.33e-1)"				"unprognostic (5.49e-3)"		"unprognostic (6.36e-2)"	"unprognostic (1.57e-2)"	"unprognostic (8.97e-2)"	"unprognostic (6.39e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.03e-3)"	"unprognostic (1.85e-2)"	"potential prognostic unfavorable (1.10e-4)"	"unprognostic (6.74e-2)"		"unprognostic (2.86e-2)"	"unprognostic (3.98e-2)"		"unprognostic (2.08e-2)"	"unprognostic (4.01e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.43e-1)"
LGI1	"EPITEMPIN, EPT, ETL1, IB1099"	ENSG00000108231	"Leucine rich glioma inactivated 1"	O95970	10	93757840-93806272	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes, Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 46.6;choroid plexus: 70.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 230.4;Excitatory neurons: 55.2;Inhibitory neurons: 71.4;Oligodendrocyte precursor cells: 26.9"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 441.1"	"Group enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 9.4;Testicular Germ Cell Tumor (TCGA): 2.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 3.0;Rhabdoid: 6.2;testis cancer: 3.1"	"Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted in brain"	"No annotated function"	NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 47: Astrocytes - Unknown function"	2										"unprognostic (1.57e-3)"	"unprognostic (2.19e-3)"		"unprognostic (2.55e-1)"																			"unprognostic (2.47e-1)"		
LHFPL1		ENSG00000182508	"LHFPL tetraspan subfamily member 1"	Q86WI0	X	112630648-112680054	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 2.3;salivary gland: 2.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 4.3;Basal prostatic cells: 1.4;Lymphatic endothelial cells: 4.7"	"Cell type enhanced"	"Detected in many"		"astrocyte: 17.0;central nervous system macrophage: 9.0"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"testis cancer: 3.5"		"Low region specificity"	"Detected in some"			"Region enriched"	"Detected in some"	4	"olfactory bulb: 4.5"	HPA003029	Uncertain						NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	4			"HPA003029: AB_1079248"			"unprognostic (3.40e-2)"					"unprognostic (5.69e-2)"											"unprognostic (3.25e-1)"								"unprognostic (3.18e-2)"				
LHFPL3	LHFPL4	ENSG00000187416	"LHFPL tetraspan subfamily member 3"	Q86UP9	7	104328603-104908561	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	10	"brain: 14.2;retina: 13.1"	"Cell type enriched"	"Detected in some"	19	"Oligodendrocyte precursor cells: 4494.9"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte precursor cell: 4970.5"	"Cancer enriched"	"Detected in many"	15	"Glioblastoma Multiforme (TCGA): 52.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"skin cancer: 1.0"	"Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA069691			Approved	Vesicles			No	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	2	Vesicles		"HPA069691: AB_2686171"			"unprognostic (5.65e-2)"			"unprognostic (1.60e-1)"	"unprognostic (5.93e-2)"	"unprognostic (9.88e-2)"					"unprognostic (3.70e-2)"				"unprognostic (7.26e-2)"								"unprognostic (1.36e-1)"	"unprognostic (2.42e-1)"	"unprognostic (5.43e-2)"	"unprognostic (5.35e-2)"	"unprognostic (3.65e-1)"		"unprognostic (6.80e-3)"
LHFPL4	GARLH4	ENSG00000156959	"LHFPL tetraspan subfamily member 4"	Q7Z7J7	3	9498361-9553822	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"brain: 17.5;pituitary gland: 11.9;retina: 9.0"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 38.4;Excitatory neurons: 57.9;Horizontal cells: 22.0;Inhibitory neurons: 64.3;Oligodendrocyte precursor cells: 32.1;Rod photoreceptor cells: 15.9"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 11.9;Testicular Germ Cell Tumor (TCGA): 8.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Gallbladder cancer: 12.9;Neuroblastoma: 13.0"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041421	Uncertain		Approved	"Nucleoplasm,Golgi apparatus"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 24: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"	18	"Golgi apparatus"	Nucleoplasm	"HPA041421: AB_10796673"							"unprognostic (2.30e-1)"	"unprognostic (3.53e-3)"		"unprognostic (1.35e-1)"												"unprognostic (1.81e-2)"							"unprognostic (2.30e-1)"		
LHX1	"LIM-1, LIM1"	ENSG00000273706	"LIM homeobox 1"	P48742	17	36936785-36944612	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	25	"brain: 32.7;kidney: 10.4"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 35.0;Bipolar cells: 15.3;Collecting duct cells: 44.7;Horizontal cells: 84.3;Proximal tubular cells: 13.0;Secretory cells: 11.5"	"Cell type enhanced"	"Detected in some"		"cerebellar inhibitory: 54.2;mammillary body: 98.7;upper rhombic lip: 74.7"	"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 1.9"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"thyroid cancer: 2.5"		"Region enhanced"	"Detected in many"		"cerebellum: 19.1"	"Region enriched"	"Detected in many"	4	"cerebellum: 21.0"	"HPA044307, HPA073521, HPA074382"	Enhanced		Supported	"Nucleoplasm,Nuclear membrane,Golgi apparatus"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 25: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	7	Nucleoplasm	"Nuclear membrane, Golgi apparatus"	"HPA044307: , HPA073521: AB_2732226, HPA074382: "													"unprognostic (9.60e-3)"							"unprognostic (1.17e-1)"									"unprognostic (2.55e-1)"		"unprognostic (1.72e-1)"
LHX2	"hLhx2, LH-2"	ENSG00000106689	"LIM homeobox 2"	P50458	9	124001670-124033301	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 89.4;retina: 33.1"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 65.0;Early spermatids: 27.7;Excitatory neurons: 20.0;Late spermatids: 36.1;Muller glia cells: 193.2"	"Group enriched"	"Detected in many"	5	"amygdala excitatory: 41.0;astrocyte: 40.2;deep-layer intratelencephalic: 54.0;hippocampal CA1-3: 33.3;hippocampal CA4: 82.9;hippocampal dentate gyrus: 21.9;LAMP5-LHX6 and Chandelier: 23.5;miscellaneous: 38.9;thalamic excitatory: 21.3;upper-layer intratelencephalic: 42.0"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 38.4"	"Group enriched"	"Detected in all"	5	"amygdala: 63.8;basal ganglia: 64.6;cerebral cortex: 89.8;hippocampal formation: 86.1;white matter: 55.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 20.9"	"Liver - Hepatic stellate cells, Skin - Outer root sheath cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA000838		Supported	Approved	Nucleoplasm			NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 51: Neurons - Mixed function"	"Cluster 54: Non-specific - Transcription"	"Cluster 10: Muller glia cells - Visual perception"	31	Nucleoplasm		"HPA000838: AB_2666109"	"unprognostic (1.19e-1)"	"unprognostic (1.12e-3)"	"unprognostic (2.85e-2)"	"unprognostic (2.28e-2)"			"unprognostic (1.33e-1)"	"unprognostic (2.05e-2)"	"unprognostic (3.60e-2)"					"unprognostic (7.55e-3)"		"unprognostic (2.01e-3)"		"unprognostic (1.37e-2)"	"unprognostic (3.93e-2)"	"unprognostic (6.82e-2)"							"unprognostic (1.87e-1)"		"unprognostic (1.57e-1)"	"unprognostic (9.44e-3)"	"unprognostic (1.36e-1)"
LHX4	Gsh4	ENSG00000121454	"LIM homeobox 4"	Q969G2	1	180230264-180278984	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Disease variant, Dwarfism, Proto-oncogene"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"retina: 14.9"	"Group enriched"	"Detected in some"	8	"Bipolar cells: 93.8;Cone photoreceptor cells: 39.1;Early spermatids: 34.4;Late spermatids: 66.5"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Region enhanced"	"Detected in single"		"pons and medulla: 1.3"	"Group enriched"	"Detected in some"	5	"pons: 1.0;spinal cord: 3.1"	HPA055705			Approved	"Nuclear speckles"			NA	NA				"Cluster 76: Retina - Visual perception"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 1: Neuronal - Visual perception"	"Cluster 25: Bipolar cells - Visual perception"	57	"Nuclear speckles"		"HPA055705: AB_2682892"			"unprognostic (1.72e-1)"			"unprognostic (5.98e-2)"									"unprognostic (1.18e-1)"											"unprognostic (2.53e-1)"					
LHX5		ENSG00000089116	"LIM homeobox 5"	Q9H2C1	12	113462033-113472280	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	21	"brain: 3.0;stomach 1: 1.2"	"Cell type enhanced"	"Detected in single"		"Fibroblasts: 1.9"	"Cell type enhanced"	"Detected in some"		"cerebellar inhibitory: 19.3;mammillary body: 6.5;midbrain-derived inhibitory: 7.6"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in many"		"medulla oblongata: 10.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 1.1;head and neck cancer: 1.5"	"Stomach - Gastric enteroendocrine cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA053908			Approved	"Nucleoplasm,Nuclear bodies,Cytosol"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 50: Connective tissue cells - ECM organization"	17	Cytosol	"Nucleoplasm, Nuclear bodies"	"HPA053908: AB_2682304"	"unprognostic (4.55e-2)"								"unprognostic (1.11e-2)"									"unprognostic (1.05e-1)"													
LHX8	Lhx7	ENSG00000162624	"LIM homeobox 8"	Q68G74	1	75128434-75161533	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.3;lymphoid tissue: 1.4;salivary gland: 2.6"	"Cell type enriched"	"Detected in some"	44	"Oocytes: 455.1"	"Group enriched"	"Detected in some"	5	"ependymal cell: 3.0;splatter: 3.3"	"Low cancer specificity"	"Detected in some"			"Group enriched"	"Detected in some"	6	"cerebral cortex: 17.9;hypothalamus: 11.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 5.1;Neuroblastoma: 4.0"		"Region enhanced"	"Detected in many"		"basal ganglia: 9.9"	"Region enriched"	"Detected in some"	5	"basal ganglia: 15.9"	HPA071806			Approved	Nucleoplasm,Nucleoli,Cytosol			NA	NA				"Cluster 38: Salivary gland - Salivary secretion"	"Cluster 33: Neurons - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 44: Oocytes - Unknown function"	34	"Nucleoplasm, Nucleoli"	Cytosol	"HPA071806: AB_2686449"									"unprognostic (9.58e-2)"																				"unprognostic (1.07e-1)"		
LHX9		ENSG00000143355	"LIM homeobox 9"	Q9NQ69	1	197911902-197935478	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"ovary: 18.3"	"Cell type enhanced"	"Detected in some"		"Horizontal cells: 29.6;Leydig cells: 162.3;Ovarian stromal cells: 24.4;Peritubular cells: 49.0"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 10.6;splatter: 9.3;thalamic excitatory: 42.4"	"Cancer enriched"	"Detected in many"	10	"Kidney Chromophobe (TCGA): 36.2"	"Region enhanced"	"Detected in all"		"midbrain: 36.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 18.5"	"Adipose visceral - Mesothelial cells"	"Group enriched"	"Detected in many"	4	"hippocampal formation: 6.3;midbrain: 17.3;thalamus: 12.2"	"Group enriched"	"Detected in many"	5	"midbrain: 20.4;pons: 8.1;thalamus: 17.3"	HPA009695	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 62: Connective tissue - ECM organization"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 6: Ovarian stromal cells - Transcription"	5	Nucleoplasm		"HPA009695: AB_1079251"				"unprognostic (5.32e-2)"			"unprognostic (9.14e-2)"	"unprognostic (1.05e-1)"		"unprognostic (7.21e-2)"						"unprognostic (1.23e-1)"	"unprognostic (2.51e-1)"	"unprognostic (9.10e-3)"											"unprognostic (1.65e-1)"		"unprognostic (3.01e-3)"
LILRA1	"CD85i, LIR-6, LIR6"	ENSG00000104974	"Leukocyte immunoglobulin like receptor A1"	O75019	19	54593582-54602381	"CD markers, Predicted membrane proteins"	"Adaptive immunity, Immunity"	Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"lymphoid tissue: 11.6"	"Cell type enhanced"	"Detected in some"		"Hofbauer cells: 19.2;Kupffer cells: 49.4;Macrophages: 29.8;monocytes: 144.4"	"Group enriched"	"Detected in some"	54	"central nervous system macrophage: 20.6;leukocyte: 9.5"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 1.3"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in many"		"intermediate monocyte: 126.7;non-classical monocyte: 169.8"	"Lineage enriched"	"Detected in many"	5	"monocytes: 169.8"	"Not detected"	"Not detected"			"Adrenal gland - Macrophages, Liver - Kupffer cells, Lung - Neutrophil_2, Pituitary gland - Macrophages, Prostate - Macrophages, Spleen - Macrophages, Stomach - Macrophages"																NA	NA		56000000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"							"unprognostic (5.03e-2)"				"unprognostic (2.50e-1)"	"unprognostic (3.23e-2)"			"potential prognostic favorable (6.40e-4)"																				
LILRA4	"CD85g, ILT7"	ENSG00000239961	"Leukocyte immunoglobulin like receptor A4"	P59901	19	54333185-54339162	"CD markers, Predicted membrane proteins"	"Immunity, Innate immunity"	Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 4.4;lymphoid tissue: 10.6"	"Cell type enriched"	"Detected in some"	30	"dendritic cells: 597.3"	"Cell type enriched"	"Detected in single"	91	"central nervous system macrophage: 9.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in some"	21	"plasmacytoid DC: 176.0"	"Lineage enriched"	"Detected in many"	21	"dendritic cells: 176.0"	"Not detected"	"Not detected"			"Minor Salivary Gland - Macrophages, Spleen - B-cells (Spleen)"									HPA049418	Approved						NA	NA		8100000	"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 30: White matter - Myelination"	"Cluster 55: Lymphoma - Immune response"	"Cluster 28: Dendritic cells - Antigen presentation"	1			"HPA049418: AB_2680756"			"unprognostic (8.19e-2)"					"unprognostic (4.09e-2)"															"unprognostic (5.33e-2)"								
